price
[5900],5900
[3120],3120
[5450],5450
[4040],4040
[4080],4080
[8080],8080
[4040],4040
[4080],4080
[5800],5800
[5885],5885
[9667],9667
[3420],3420
[5800],5800
[7600],7600
[5400],5400
[4995],4995
[3000],3000
[5500],5500
[6450],6450
[6210],6210
[5000],5000
[5000],5000
[5828],5828
[5200],5200
[5500],5500
[6350],6350
[8250],8250
[6000],6000
[7700],7700
[8880],8880
[8880],8880
[6480],6480
[7000],7000
[8875],8875
[7155],7155
[8960],8960
[7350],7350
[3850],3850
[7000],7000
[7770],7770
[7440],7440
[7500],7500
[8100],8100
[3900],3900
[2970],2970
[3000],3000
[10500],10500
[5500],5500
[4500],4500
[3850],3850
[4130],4130
[4046],4046
[4079],4079
[4000],4000
[9860],9860
[7000],7000
[7980],7980
[6800],6800
[4300],4300
[10269],10269
[6100],6100
[6420],6420
[12090],12090
[6600],6600
[6600],6600
[8580],8580
[9960],9960
[10700],10700
[15600],15600
[13200],13200
[9000],9000
[7950],7950
[16200],16200
[6100],6100
[6360],6360
[6420],6420
[6360],6360
[6540],6540
[6420],6420
[6550],6550
[5750],5750
[7420],7420
[7160],7160
[4000],4000
[9000],9000
[6550],6550
[13200],13200
[7085],7085
[6600],6600
[6900],6900
[11460],11460
[7020],7020
[6540],6540
[8000],8000
[9620],9620
[10500],10500
[5020],5020
[7440],7440
[6600],6600
[7200],7200
[6710],6710
[6660],6660
[7000],7000
[7231],7231
[7410],7410
[7800],7800
[6825],6825
[6360],6360
[6600],6600
[6900],6900
[6600],6600
[6420],6420
[6600],6600
[6600],6600
[9000],9000
[6500],6500
[6360],6360
[5300],5300
[2850],2850
[6400],6400
[11175],11175
[6750],6750
[7500],7500
[6000],6000
[10240],10240
[5136],5136
[3400],3400
[2880],2880
[3840],3840
[2870],2870
[5320],5320
[3512],3512
[3480],3480
[3600],3600
[3520],3520
[5320],5320
[6040],6040
[11410],11410
[8400],8400
[5300],5300
[7800],7800
[3520],3520
[5360],5360
[6862],6862
[3520],3520
[4050],4050
[3520],3520
[4400],4400
[5720],5720
[11440],11440
[7482],7482
[5500],5500
[4320],4320
[5400],5400
[4320],4320
[4815],4815
[6100],6100
[7980],7980
[6050],6050
[3800],3800
[5400],5400
[6000],6000
[2398],2398
[2145],2145
[2145],2145
[2145],2145
[2610],2610
[1950],1950
[2145],2145
[2275],2275
[2856],2856
[2015],2015
[2176],2176
[2145],2145
[2145],2145
[2787],2787
[9500],9500
[4990],4990
[6670],6670
[6254],6254
[10360],10360
[5500],5500
[5450],5450
[5500],5500
[6000],6000
[5700],5700
[6600],6600
[4000],4000
[4880],4880
[4880],4880
[8050],8050
[8100],8100
[5880],5880
[5880],5880
[12944],12944
[6020],6020
[4050],4050
[8400],8400
[5600],5600
[5985],5985
[4500],4500
[4920],4920
[8250],8250
[8400],8400
[6440],6440
[8100],8100
[6720],6720
[5948],5948
[8150],8150
[4800],4800
[9800],9800
[8520],8520
[8372],8372
[4040],4040
[4646],4646
[4775],4775
[4950],4950
[5010],5010
[6060],6060
[3584],3584
[6000],6000
[6000],6000
[6240],6240
[6000],6000
[7680],7680
[6000],6000
[6000],6000
[6000],6000
[6000],6000
[7475],7475
[5150],5150
[6325],6325
[6000],6000
[6000],6000
[6000],6000
[7000],7000
[12900],12900
[7686],7686
[5000],5000
[5800],5800
[6000],6000
[4800],4800
[6500],6500
[7320],7320
[6525],6525
[4800],4800
[6000],6000
[6000],6000
[6000],6000
[6000],6000
